State,Median income (dollars)
Alabama,"66,659"
Alaska,"95,665"
Arizona,"81,486"
Arkansas,"62,106"
California,"100,149"
Colorado,"97,113"
Connecticut,"96,049"
Delaware,"87,534"
District of Columbia,"109,707"
Florida,"77,735"
Georgia,"79,991"
Hawaii,"100,745"
Idaho,"81,166"
Illinois,"83,211"
Indiana,"71,959"
Iowa,"75,501"
Kansas,"75,514"
Kentucky,"64,526"
Louisiana,"60,986"
Maine,"76,442"
Maryland,"102,905"
Massachusetts,"104,828"
Michigan,"72,389"
Minnesota,"87,117"
Mississippi,"59,127"
Missouri,"71,589"
Montana,"75,340"
Nebraska,"76,376"
Nevada,"81,134"
New Hampshire,"99,782"
New Jersey,"104,294"
New Mexico,"67,816"
New York,"85,820"
North Carolina,"73,958"
North Dakota,"77,871"
Ohio,"72,212"
Oklahoma,"66,148"
Oregon,"85,220"
Pennsylvania,"77,545"
Rhode Island,"83,504"
South Carolina,"72,350"
South Dakota,"76,881"
Tennessee,"71,997"
Texas,"79,721"
Utah,"96,658"
Vermont,"82,730"
Washington,"99,389"
West Virginia,"60,798"
Wisconsin,"77,488"
Wyoming,"75,532"
Puerto Rico,"27,213"
